# 道具・家具・楽器・服・日用品（object）。薄い物（紙・カード・定規）は入れない。列: ja	reading	en	aliases	level	seed	hint（ジャンル。10 秒のヒント）	english（英語の答え。必須。en は裏プロンプトで答えには使わない）
椅子	いす	chair	イス,チェア,チェアー	1		家具	chair
# 机	つくえ	desk		1	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
# テーブル	てーぶる	table		1	# 落とした: 細かすぎて 60³ では見分けがつかない
ソファ	そふぁ	sofa	ソファー,長椅子	1		家具	sofa,couch
ベッド	べっど	bed	寝床	1		家具	bed
二段ベッド	にだんべっど	bunk bed	2段ベッド	2		家具	bunk bed,bunkbed
# 本棚	ほんだな	bookshelf		1	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
タンス	たんす	chest of drawers	箪笥,引き出し,ひきだし,衣装ケース	1		家具	chest of drawers,dresser,drawers
# クローゼット	くろーぜっと	wardrobe	closet	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 鏡	かがみ	mirror	ミラー	2	# 落とした: 生成テスト 60³(2026-09-21): 輪
ランプ	らんぷ	lamp	電気スタンド,スタンド	1	2	火・明かり	lamp
# シャンデリア	しゃんでりあ	chandelier		2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
電球	でんきゅう	light bulb	電気	1		火・明かり	light bulb,bulb,lightbulb
ろうそく	ろうそく	candle	蝋燭,キャンドル,ロウソク	1		火・明かり	candle
ランタン	らんたん	lantern	カンテラ,ランプ	1		火・明かり	lantern
提灯	ちょうちん	red japanese chochin paper lantern hanging, whole lantern visible	チョウチン,赤提灯,あかちょうちん,行灯,あんどん,提灯行灯,ちょうちんあんどん	1		火・明かり	paper lantern,chochin,andon,paperlantern
#   ↑ en を「red Japanese paper lantern」から書き換え（60³ テスト: 絵が接写）
# 暖炉	だんろ	fireplace		2	# 落とした: 生成テスト 60³(2026-09-21): 絵が部屋
# ストーブ	すとーぶ	stove heater	ヒーター,heater,stove	2	# 落とした: 細かすぎて 60³ では見分けがつかない
扇風機	せんぷうき	electric fan	ファン	1		家電	electric fan,fan
# エアコン	えあこん	air conditioner	クーラー,airconditioner	2	# 落とした: 細かすぎて 60³ では見分けがつかない
テレビ	てれび	television	ティーヴィー,テレビジョン	1		通信・音楽の機械	television,tv
# パソコン	ぱそこん	desktop computer	PC,computer,デスクトップ	2	# 落とした: 生成テスト 60³(2026-09-21): 白い箱
# ノートパソコン	のーとぱそこん	laptop	ノートPC	1	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# マウス	まうす	computer mouse	computermouse	2	# 落とした: 細かすぎて 60³ では見分けがつかない
電話	でんわ	rotary telephone	黒電話,くろでんわ,固定電話,受話器	2		通信・音楽の機械	rotary telephone,telephone,phone
# ラジオ	らじお	radio		2	# 落とした: 細かすぎて 60³ では見分けがつかない
# スピーカー	すぴーかー	speaker	loudspeaker	2	# 落とした: 細かすぎて 60³ では見分けがつかない
ヘッドホン	へっどほん	headphones	ヘッドフォン,ヘッドセット,イヤホン	1		通信・音楽の機械	headphones,headphone,headset
