# 食べ物（food）。列: ja	reading	en	aliases	level	seed	hint（ジャンル。10 秒のヒント）	english（英語の答え。必須。en は裏プロンプトで答えには使わない）
りんご	りんご	apple	林檎,アップル,リンゴ,赤いりんご	1		果物	apple
バナナ	ばなな	banana		1		果物	banana
# みかん	みかん	mandarin orange	蜜柑,tangerine,mandarin	1	# 落とした: 細かすぎて 60³ では見分けがつかない
オレンジ	おれんじ	orange	みかん,蜜柑,ミカン	1		柑橘	orange,mandarin,tangerine
レモン	れもん	lemon	檸檬	1		柑橘	lemon
ぶどう	ぶどう	single bunch of purple grapes	葡萄,グレープ,ブドウ,マスカット,巨峰	1		果物	grapes,grape
#   ↑ en を「grapes」から書き換え（60³ テスト: 房が崩れる）
いちご	いちご	strawberry	苺,ストロベリー,イチゴ	1		果物	strawberry
# さくらんぼ	さくらんぼ	two red cherries joined by a stem	チェリー,桜桃	1	# 落とした: 生成テスト 60³(2026-09-21): 絵が複数
#   ↑ en を「cherry」から書き換え（60³ テスト: トマトに見える）
桃	もも	peach	白桃	1		果物	peach
# 梨	なし	Japanese pear	pear,洋梨	1	# 落とした: 細かすぎて 60³ では見分けがつかない
スイカ	すいか	whole green striped watermelon, uncut	西瓜,ウォーターメロン	1		果物	watermelon
#   ↑ en を「watermelon」から書き換え（60³ テスト: 切り口）
メロン	めろん	melon	マスクメロン	1		果物	melon,cantaloupe
パイナップル	ぱいなっぷる	pineapple	パイン	1		南国の果物	pineapple
# キウイ	きうい	whole brown kiwi fruit, uncut	キウイフルーツ	1	# 落とした: 生成テスト 60³(2026-09-21): 切り口
#   ↑ en を「kiwi fruit」から書き換え（60³ テスト: 切り口が混ざる）
マンゴー	まんごー	mango		1		南国の果物	mango
# パパイヤ	ぱぱいや	papaya		2	# 落とした: 細かすぎて 60³ では見分けがつかない
ココナッツ	ここなっつ	coconut	ヤシの実,やしのみ,ココナツ	1		南国の果物	coconut
# ザクロ	ざくろ	pomegranate	柘榴	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 柿	かき	persimmon		2	# 落とした: 細かすぎて 60³ では見分けがつかない
栗	くり	chestnut	マロン,クリ,栗の実,チェスナッツ	2		果物	chestnut
アボカド	あぼかど	whole dark green avocado, uncut	アボガド	2		果物	avocado
#   ↑ en を「avocado」から書き換え（60³ テスト: 半分になる）
# グレープフルーツ	ぐれーぷふるーつ	grapefruit		2	# 落とした: 細かすぎて 60³ では見分けがつかない
# ライム	らいむ	lime		2	# 落とした: 細かすぎて 60³ では見分けがつかない
